issn_print,issn_electronic,issn_linking,titulo,anio_clasificacion,categoria_publindex,pais,region,departamento,municipio,codigo_dane,especialidad,area_conocimiento,gran_area,institucion_editora_1,tipo_institucion_1,institucion_editora_2,institucion_editora_3,id_revista_publindex,issn_normalizado,titulo_normalizado,pais_iso,categoria_publindex_ord,_fecha_captura,_version_proceso,_estado_calidad,_hash_registro,rank,sourceid,tipo_publicacion,titulo_normalizado_scimago_dup,editorial,open_access,oa_diamond,sjr_score,cuartil_sjr,cuartil_sjr_ord,h_index,total_docs,total_docs_3y,total_refs,total_citas_3y,docs_citables_3y,citas_por_doc_2y,refs_por_doc,pct_female,overton,cobertura,categorias,areas,url_revista,url,When did the journal start to publish all content using an open license?,titulo_alternativo,issn_impreso,issn_electronico,palabras_clave,idiomas,pais_editorial,Other organisation,Country of other organisation,licencia,atributos_licencia,URL for license terms,cc_legible_maquina,autor_retiene_copyright,Copyright information URL,tipo_revision,Review process information URL,politica_plagio,URL for journal's aims & scope,URL for the Editorial Board page,URL for journal's instructions for authors,semanas_submission_publicacion,tiene_apc,APC information URL,apc_amount_raw,politica_exencion,Waiver policy information URL,tiene_otros_cobros,Other fees information URL,servicios_preservacion,Preservation Service: national library,Preservation information URL,Deposit policy directory,URL for deposit policy,identificadores_persistentes,cumple_oa,Continues,Continued By,codigos_lcc,subscribe_to_open,Mirror Journal,Open Journals Collective,materias,fecha_incorporacion,fecha_actualizacion,Last Full Review Date,num_articulos,fecha_ultimo_articulo,titulo_normalizado_doaj_dup,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_conversion_estado,apc_monto_ppp_usd,apc_monto,apc_moneda,apc_tipo,titulo_normalizado_facts_dup,is_hybrid,titulo_normalizado_openapc_dup,_fuentes,concentracion_editorial,apc_es_outlier,apc_imputado,apc_metodo_imputacion,exencion_apc_lmic,revision_abierta,indexada_doaj,es_colombiana,brecha_publindex_sjr,contraste_publindex_cuartil,semanas_pub,editorial_rapida,ratio_citas_docs,indice_calidad_costo,apc_monto_usd_zscore,sjr_score_zscore,h_index_zscore,semanas_pub_zscore,apc_monto_usd_minmax,sjr_score_minmax,h_index_minmax,semanas_pub_minmax
0034-7450,1657-0448,,Revista Colombiana De Psiquiatría,2022,B,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Medicina Clínica,Ciencias Médicas y de la Salud,ASOCIACION COLOMBIANA DE PSIQUIATRIA,Otras,,,184,0034-7450,colombiana psiquiatria,CO,2,2026-09-13,1.0.0,consolidado,62d92ba981a5a77c,163,21101259010,journal,,Revista E-Psi associated with PsyAssessmentLab (Univ. Coimbra),True,True,0.105,Q4,1,2,58,123,889,5,91,0.06,15.33,0.5539999999999999,0,2020-2026,Dermatology (Q4); Surgery (Q4),Medicine,https://revistaepsi.net/,https://doaj.org/toc/9da737c4241d4458b38329ede050a62a,2011,,,2182-7591,"psychology, psychological assessment","English, French, Portuguese, Spanish",Portugal,Revista E-Psi associated with PsyAssessmentLab (Univ. Coimbra),,CC BY-NC-ND,,https://revistaepsi.net/,True,False,https://revistaepsi.net/instrucoes-autores/,Double anonymous peer review,https://revistaepsi.net/instrucoes-autores/,False,https://revistaepsi.net/missao-sinopse/,https://revistaepsi.net/corpo-editorial/,https://revistaepsi.net/instrucoes-autores/,24,False,http://revistaepsi.com/,,False,,False,,,,,,,,True,,,BF1-990,False,No,No,Philosophy. Psychology. Religion: Psychology,2013-06-29T15:51:33Z,2026-06-25T19:13:23Z,2026-06-25,7,2015-11-24T16:38:14Z,,,,1291.99,,sin_monto,3399.97,,,imputado,,,,"['doaj', 'publindex', 'scimago']",0.002207505518763797,False,True,regresion_condicional,True,False,True,True,1,2.0,24,False,0.04065040650406504,0.1243,-0.0741,-0.7278,-0.8695,0.4005,0.2289,0.0061,0.0,0.2326
2539-3669,2215-7727,2539-3669,GESTIÓN Y DESARROLLO LIBRE,2022,C,Colombia,Centro Oriente,Norte de Santander,Cúcuta,54001,Negocios y Management,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD LIBRE DE COLOMBIA,IES,,,"158,871",2539-3669,gestion desarrollo libre,CO,1,2026-09-13,1.0.0,consolidado,2767aa55125e68ff,96,19500157818,journal,,Pontificia Universidad Javeriana,True,True,0.152,Q4,1,16,7,28,319,13,28,0.27,45.57,0.2778,0,2008-2025,"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4)","Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences",http://www.espacioimasd.unach.mx,https://doaj.org/toc/0936089dfe3d4bb9aa813969a395913e,2012,,,2007-6703,"innovation, social sciences, humanities, technology, life sciences",Spanish,Mexico,Universidad Autónoma de Chiapas,,CC BY-NC-SA,,http://www.espacioimasd.unach.mx/politica_editorial.php,,False,,Double anonymous peer review,http://www.espacioimasd.unach.mx/politica_editorial.php,True,http://www.espacioimasd.unach.mx/espacioi+D/identidad.php,http://www.espacioimasd.unach.mx/espacioi+D/comite_editorial.php,http://espacioimasd.unach.mx/espacioi+D/Instrucciones_para_los_autores.php,24,False,http://www.espacioimasd.unach.mx/politica_editorial.php,,False,,False,http://www.espacioimasd.unach.mx/politica_editorial.php,,,,,,DOI,True,,,H1-99,False,No,No,Social Sciences: Social sciences (General),2019-04-18T19:58:44Z,2019-04-18T19:58:44Z,2019-04-18,702,2026-06-18T19:55:25Z,,,,899.89,,sin_monto,2368.13,,,imputado,,,,"['doaj', 'publindex', 'scimago']",0.033112582781456956,False,True,regresion_condicional,True,False,True,True,0,1.0,24,False,0.4642857142857143,0.2283,-0.5464,-0.1242,1.1056,0.4005,0.1585,0.0639,0.35,0.2326
2215-7727,2215-7727,2215-7727,Cuadernos De Desarrollo Rural,2022,C,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Sociología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,IES,,,353,2215-7727,desarrollo rural,CO,1,2026-09-13,1.0.0,consolidado,d896d9d6574d646f,96,19500157818,journal,,Pontificia Universidad Javeriana,True,True,0.152,Q4,1,16,7,28,319,13,28,0.27,45.57,0.2778,0,2008-2025,"Agronomy and Crop Science (Q4); Economics and Econometrics (Q4); Geography, Planning and Development (Q4)","Agricultural and Biological Sciences; Economics, Econometrics and Finance; Social Sciences",https://lljournal.commons.gc.cuny.edu/,https://doaj.org/toc/fbfecba83adc45448e1ccdef1bd97e2b,2005,,,1930-1693,"film studies, gender studies, latino studies, linguistics, iberian literature and culture, latin american literature and culture","Spanish, Portuguese, English",United States,"The Graduate Center, The City University of New York",,CC BY-NC,,https://lljournal.commons.gc.cuny.edu/aviso-de-derechos-de-autor/,,False,,Peer review,https://lljournal.commons.gc.cuny.edu/proceso-revision-pares/,False,https://lljournal.commons.gc.cuny.edu/enfoque-y-alcance/,https://lljournal.commons.gc.cuny.edu/consejo-de-redaccion/,https://lljournal.commons.gc.cuny.edu/directrices-es/,8,False,https://lljournal.commons.gc.cuny.edu/aviso-de-derechos-de-autor/,,False,,False,,,,,,,,True,,,PQ1-3999,False,No,No,Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature,2018-12-18T01:46:59Z,2023-03-21T08:07:56Z,2023-03-21,41,2026-04-02T18:32:50Z,,1783.67,EUR,1926.36,1.08,sin_monto,5069.37,1783.67,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.033112582781456956,False,False,,True,False,True,True,0,1.0,8,True,0.4642857142857143,0.134,0.6901,-0.1242,1.1056,-0.9562,0.3427,0.0639,0.35,0.0465
0124-7441,0124-7441,2590-4566,Justicia,2022,C,Colombia,Caribe,Atlántico,Barranquilla,08001,Derecho,Derecho,Ciencias Sociales,UNIVERSIDAD SIMON BOLIVAR,IES,,,37,2590-4566,justicia,CO,1,2026-09-13,1.0.0,consolidado,e8416e5d079b60d9,14,21101215777,journal,justicia barranquilla,Simon Bolivar University (Barranquilla),True,True,0.296,Q2,3,5,27,98,1134,41,96,0.48,42.0,0.3778,0,2020-2025,Political Science and International Relations (Q2); Sociology and Political Science (Q2),Social Sciences,https://www.mimesisjournals.com/ojs/index.php/ec,https://doaj.org/toc/a3bf8535c4dd4ab0ab80418b1d56d747,2005,,1973-2716,1970-7452,"semiotics, signification, sociosemiotics, languages, culture, media","Spanish, French, English, Italian",Italy,AISS - Associazione Italiana di Studi Semiotici,Italy,CC BY,,https://www.mimesisjournals.com/ojs/index.php/ec/about,True,False,https://www.mimesisjournals.com/ojs/index.php/ec/about,Double anonymous peer review,https://mimesisjournals.com/ojs/index.php/ec/about,False,https://mimesisjournals.com/ojs/index.php/ec/about,https://mimesisjournals.com/ojs/index.php/ec/about/editorialTeam,https://mimesisjournals.com/ojs/index.php/ec/information/authors,12,False,https://mimesisjournals.com/ojs/index.php/ec/about,,False,,False,,,,,,,,True,,,P87-96|P101-410,False,No,No,Language and Literature: Philology. Linguistics: Communication. Mass media | Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,2023-03-23T17:41:07Z,2023-03-23T17:41:07Z,2023-03-23,0,,,,,851.29,,sin_monto,2240.24,,,imputado,,,,"['doaj', 'publindex', 'scimago']",0.0033112582781456954,False,True,regresion_condicional,True,False,True,True,-2,0.3333333333333333,12,True,0.41836734693877553,0.46,-0.605,1.7249,-0.4463,-0.617,0.1498,0.2408,0.075,0.093
1657-9267,2011-2777,,Universitas Psychologica,2022,B,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Psicología,Ciencias Sociales,PONTIFICIA UNIVERSIDAD JAVERIANA,IES,,,503,1657-9267,universitas psychologica,CO,2,2026-09-13,1.0.0,consolidado,7ff872a0c8878df8,108,7500153128,journal,universitas psychologica,Pontificia Universidad Javeriana,True,True,0.146,Q4,1,37,28,77,1691,32,77,0.21,60.39,0.4474,0,2007-2026,Psychology (miscellaneous) (Q4); Social Psychology (Q4),Psychology,https://impactum-journals.uc.pt/psychologica/index,https://doaj.org/toc/27abadbedbf7489f93d3e1c52c3c4594,2009,,0871-4657,1647-8606,"social sciences, social psychology, psychology, psychology of education","English, Portuguese",Portugal,"University of Coimbra, Faculty of Psychology and Education Sciences",,CC BY,,https://impactum-journals.uc.pt/psychologica/index,,True,https://impactum-journals.uc.pt/psychologica/about/submissions,Anonymous peer review,https://impactum-journals.uc.pt/psychologica/about,False,https://impactum-journals.uc.pt/psychologica/about,https://impactum-journals.uc.pt/psychologica/about/editorialTeam,https://impactum-journals.uc.pt/psychologica/about/submissions,50,False,https://impactum-journals.uc.pt/psychologica/about,,False,,False,https://impactum-journals.uc.pt/psychologica/about,,,https://impactum-journals.uc.pt/psychologica/about,,,DOI,True,,,BF1-990,False,No,No,Philosophy. Psychology. Religion: Psychology,2019-06-04T23:33:02Z,2020-05-16T14:33:41Z,2020-05-16,336,2026-07-06T09:02:27Z,,2323.34,EUR,2509.21,1.08,sin_monto,6603.18,1557.92,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.033112582781456956,False,False,,True,False,True,True,1,2.0,50,False,0.4155844155844156,0.1043,1.3922,-0.2013,4.0682,2.6052,0.4473,0.0565,0.875,0.5349
0124-0781,,2590-8669,Reflexión Política,2022,C,Colombia,Centro Oriente,Santander,Bucaramanga,68001,Ciencias Políticas,Ciencias Políticas,Ciencias Sociales,UNIVERSIDAD AUTONOMA DE BUCARAMANGA,IES,,,"1,146",2590-8669,reflexion politica,CO,1,2026-09-13,1.0.0,consolidado,c2b1fbb90d1bbd2b,164,21101145379,journal,,Technological University of Pereira,False,False,0.101,Q4,1,3,23,57,1014,4,52,0.08,44.09,0.23079999999999998,0,2019-2025,History (Q4); Political Science and International Relations (Q4),Arts and Humanities; Social Sciences,https://revistapolitica.uchile.cl/index.php/RP,https://doaj.org/toc/da5454056a0742baa5ae89b4bd03b29f,2011,Política: Revista de Ciencia Política,0716-1077,0719-5338,"political science, international relations, political sociology, latin america, public policy, political economy","Portuguese, English, Spanish",Chile,,,CC BY-SA,,https://revistapolitica.uchile.cl/index.php/RP/copyright,,True,https://revistapolitica.uchile.cl/index.php/RP/copyright,Double anonymous peer review,https://revistapolitica.uchile.cl/index.php/RP/politicas,True,https://revistapolitica.uchile.cl/index.php/RP/about,https://revistapolitica.uchile.cl/index.php/RP/about/editorialTeam,https://revistapolitica.uchile.cl/index.php/RP/about/submissions,25,False,https://revistapolitica.uchile.cl/index.php/RP/acceso,,False,,False,,,,,,,DOI,True,,,JA1-92,False,No,No,Political science: Political science (General),2024-05-29T07:00:43Z,2024-05-29T07:00:43Z,2024-05-29,0,,,2443.03,EUR,2638.47,1.08,sin_monto,6943.34,2331.51,EUR,observado,,True,,"['doaj', 'facts', 'openapc', 'publindex', 'scimago']",0.02869757174392936,False,False,,True,False,True,True,0,1.0,25,False,0.07017543859649122,0.0692,1.5479,-0.7791,-0.7284,0.4853,0.4704,0.0012,0.025,0.2442
1794-8231,,2462-8794,Ecomatematico,2022,C,Colombia,Centro Oriente,Norte de Santander,Cúcuta,54001,Matemáticas Aplicadas,Matemática,Ciencias Naturales,UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,IES,,,539,2462-8794,ecomatematico,CO,1,2026-09-13,1.0.0,consolidado,516895ed2d653695,,,,,Universidad Francisco de Paula Santander,,False,,,0,,,,,,,,,,,,,,https://revistas.ufps.edu.co/index.php/ecomatematico,https://doaj.org/toc/126beac3bb124335a314263d102c207e,2010,,1794-8231,,"education, mathematics",Spanish,Colombia,Universidad Francisco de Paula Santander,,CC BY,,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#custom-2,,False,,Double anonymous peer review,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#peerReviewProcess,True,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#focusAndScope,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#custom-3,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/submissions#authorGuidelines,12,False,http://revistas.ufps.edu.co/ojs/index.php/ecomatematico/about/editorialPolicies#openAccessPolicy,,False,,False,,,,,,,,True,,,LC8-6691|QA1-939,False,No,No,Education: Special aspects of education | Science: Mathematics,2017-11-02T21:02:49Z,2021-11-02T08:21:20Z,2021-11-02,215,2025-07-09T14:29:00Z,,2826.34,EUR,3052.45,1.08,sin_monto,8032.76,2182.8,EUR,observado,,False,,"['doaj', 'facts', 'openapc', 'publindex']",0.002207505518763797,False,False,,True,False,True,True,1,,12,True,,0.0607,2.0466,,,-0.617,0.5447,,,0.093
1794-5658,,2500-7769,Amauta,2022,C,Colombia,Caribe,Atlántico,Barranquilla,08001,Otras Humanidades,Otras Humanidades,Humanidades,UNIVERSIDAD DEL ATLANTICO,IES,,,"1,083",2500-7769,amauta,CO,1,2026-09-13,1.0.0,consolidado,86276960ec2aefa8,,,,,,,False,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.38,,,1698.37,,,imputado,,,,['publindex'],0.04194260485651214,False,True,regresion_condicional,True,False,False,True,1,,,,,0.182,-0.853,,,,0.1129,,,
1657-5997,,2027-5374,Aquichan,2022,C,Colombia,Centro Oriente,Cundinamarca,Chía,25175,Enfermería,Ciencias de la Salud,Ciencias Médicas y de la Salud,UNIVERSIDAD DE LA SABANA,IES,,,489,2027-5374,aquichan,CO,1,2026-09-13,1.0.0,consolidado,cdc25bf17d0e40f2,,,,,Mimesis Edizioni,,False,,,0,,,,,,,,,,,,,,https://www.mimesisjournals.com/ojs/index.php/ec,https://doaj.org/toc/a3bf8535c4dd4ab0ab80418b1d56d747,2005,,1973-2716,1970-7452,"semiotics, signification, sociosemiotics, languages, culture, media","Spanish, French, English, Italian",Italy,AISS - Associazione Italiana di Studi Semiotici,Italy,CC BY,,https://www.mimesisjournals.com/ojs/index.php/ec/about,True,False,https://www.mimesisjournals.com/ojs/index.php/ec/about,Double anonymous peer review,https://mimesisjournals.com/ojs/index.php/ec/about,False,https://mimesisjournals.com/ojs/index.php/ec/about,https://mimesisjournals.com/ojs/index.php/ec/about/editorialTeam,https://mimesisjournals.com/ojs/index.php/ec/information/authors,12,False,https://mimesisjournals.com/ojs/index.php/ec/about,,False,,False,,,,,,,,True,,,P87-96|P101-410,False,No,No,Language and Literature: Philology. Linguistics: Communication. Mass media | Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,2023-03-23T17:41:07Z,2023-03-23T17:41:07Z,2023-03-23,0,,,,,1275.73,,sin_monto,3357.18,,,imputado,,,,"['doaj', 'publindex']",0.012141280353200883,False,True,regresion_condicional,True,False,True,True,1,,12,True,,0.1194,-0.0937,,,-0.617,0.226,,,0.093
0123-4366,2145-4493,2346-2442,Revista De Derecho Privado,2022,A2,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Derecho,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,IES,,,441,2346-2442,derecho privado,CO,3,2026-09-13,1.0.0,consolidado,f1992ce16bb2a0c1,149,21100235613,journal,,Universidad del Rosario,True,True,0.117,Q4,1,5,7,35,453,4,16,0.12,64.71,0.5,0,2012-2025,Law (Q4),Social Sciences,https://revistas.ucsc.cl/index.php/revistaderecho,https://doaj.org/toc/d5449d3810a34fafb08148c9ac0f9c25,2021,Revista de Derecho de la Universidad Católica de la Santísima Concepción,,2735-6337,"legal sciences, law, jurisprudence, history law, public law, private law","Portuguese, Italian, French, English, Spanish",Chile,,,CC BY,,https://revistas.ucsc.cl/index.php/revistaderecho/about,True,False,https://revistas.ucsc.cl/index.php/revistaderecho/about/submissions#authorGuidelines,Double anonymous peer review,https://revistas.ucsc.cl/index.php/revistaderecho/PeerReviewProcess,True,https://revistas.ucsc.cl/index.php/revistaderecho/about,https://revistas.ucsc.cl/index.php/revistaderecho/about/editorialTeam,https://revistas.ucsc.cl/index.php/revistaderecho/about/submissions#authorGuidelines,10,False,https://revistas.ucsc.cl/index.php/revistaderecho/about/submissions#authorGuidelines,,False,,False,,,,,,,DOI,True,,,K,False,No,No,Law,2024-11-05T07:14:45Z,2024-11-05T07:14:45Z,2024-11-05,126,2025-08-11T14:01:00Z,,,,894.17,,sin_monto,2353.08,,,imputado,,,,"['doaj', 'publindex', 'scimago']",0.01545253863134658,False,True,regresion_condicional,True,False,True,True,2,3.0,10,True,0.11428571428571428,0.1764,-0.5533,-0.5737,-0.4463,-0.7866,0.1575,0.0209,0.075,0.0698
0370-3908,0370-3908,2382-4980,"Revista De La Academia Colombiana De Ciencias Exactas, Físicas Y Naturales",2022,C,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Ciencias de la Tierra y Medioambientales,Ciencias Naturales,ACADEMIA COLOMBIANA DE CIENCIAS EXACTAS FISICAS Y NATURALES ACCEFYN,Otras,,,257,2382-4980,academia colombiana ciencias exactas fisicas naturales,CO,1,2026-09-13,1.0.0,consolidado,ff7e81f2856fbf2e,85,21100903449,journal,academia colombiana ciencias exactas fisicas naturales,"Colombian Academy of Exact, Physical and Natural Sciences",True,True,0.162,Q3,2,14,68,248,2269,98,217,0.37,33.37,0.23809999999999998,0,2016-2025,"History and Philosophy of Science (Q3); Agricultural and Biological Sciences (miscellaneous) (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Energy (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)","Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Chemistry; Earth and Planetary Sciences; Energy; Mathematics; Physics and Astronomy",http://revistas.academia.cl/index.php/academia,https://doaj.org/toc/510fd4ce901b40f98c6a1fa77c4b4ef6,2015,,0717-1846,0719-6318,"philosophy, social sciences, humanities",Spanish,Chile,Universidad Academia de Humanismo Cristiano,,CC BY-NC-ND,,http://revistas.academia.cl/index.php/academia/about/submissions,,True,http://revistas.academia.cl/index.php/academia/about/submissions,Double anonymous peer review,http://revistas.academia.cl/index.php/academia/about,False,http://revistas.academia.cl/index.php/academia/about,http://revistas.academia.cl/index.php/academia/about/displayMembership/7,http://revistas.academia.cl/index.php/academia/about/submissions,5,False,http://revistas.academia.cl/index.php/academia/about,,False,,False,http://revistas.academia.cl/index.php/academia/about,,,http://revistas.academia.cl/index.php/academia/manager/setup/2,,,,True,,,AZ20-999|H1-99,False,No,No,General Works: History of scholarship and learning. The humanities | Social Sciences: Social sciences (General),2017-08-23T10:44:29Z,2019-12-05T23:26:22Z,2019-12-05,146,2024-01-08T20:52:22Z,,,,1113.66,,sin_monto,2930.68,,,imputado,,,,"['doaj', 'publindex', 'scimago']",0.0011037527593818985,False,True,regresion_condicional,True,False,True,True,-1,0.5,5,True,0.3951612903225806,0.2123,-0.2889,0.0042,0.8234,-1.2106,0.1969,0.0762,0.3,0.0116
,,2027-5846,Ingenierias Usbmed,2022,C,Colombia,Eje Cafetero,Antioquia,Medellín,05001,No registra,Otras Ingenierías y Tecnologías,Ingeniería y Tecnología,UNIVERSIDAD DE SAN BUENAVENTURA,IES,,,"1,121",2027-5846,ingenierias usbmed,CO,1,2026-09-13,1.0.0,consolidado,1bb0e6de2496a9ab,,,,,Universidad de San Buenaventura,,False,,,0,,,,,,,,,,,,,,http://revistas.usb.edu.co/index.php/IngUSBmed,https://doaj.org/toc/04235659f10b4a3e949a85ce86b6e729,2010,Ingenierias USBMed,2027-5846,,"technology, engineering, biomedical research, software engineering, computer science, data science",Spanish,Colombia,,,CC BY-NC-ND,,https://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions,True,False,https://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions,Double anonymous peer review,https://revistas.usb.edu.co/index.php/IngUSBmed/about,True,https://revistas.usb.edu.co/index.php/IngUSBmed/about,http://revistas.usb.edu.co/index.php/IngUSBmed/about/editorialTeam,http://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions#authorGuidelines,16,False,https://revistas.usb.edu.co/index.php/IngUSBmed/about/submissions#authorGuidelines,,False,,False,,,,,,,DOI,True,,,T|TA1-2040,False,No,No,Technology: Engineering (General). Civil engineering (General),2012-01-23T13:52:39Z,2025-05-05T09:47:48Z,2025-05-05,243,2026-05-20T14:18:09Z,ingenierias usbmed,5176.12,EUR,5590.21,1.08,sin_monto,14711.08,5176.12,EUR,observado,,True,,"['doaj', 'facts', 'publindex']",0.004415011037527594,True,False,,True,False,True,True,1,,16,False,,0.0356,5.1036,,,-0.2778,1.0,,,0.1395
1692-3030,1692-3030,2389-7716,Juridicas Cuc,2022,B,Colombia,Caribe,Atlántico,Barranquilla,08001,Derecho,Derecho,Ciencias Sociales,CORPORACION UNIVERSIDAD DE LA COSTA,IES,,,38,2389-7716,juridicas cuc,CO,2,2026-09-13,1.0.0,consolidado,fdb5566bd4b2e19b,25,21101089001,journal,juridicas cuc,Universidad de la Costa,False,False,0.241,Q2,3,8,21,67,1022,54,64,0.76,48.67,0.41859999999999997,0,2019-2025,Law (Q2),Social Sciences,https://ojs.utlib.ee/index.php/juridica/,https://doaj.org/toc/f883e28f3373484686d13d343f04d720,1996,,1406-1082,1406-5509,"penal code, civil code, estonian law, fundamental personal rights, european law","German, French, English",Estonia,University of Tartu,Estonia,CC BY-NC-ND,,https://ojs.utlib.ee/index.php/juridica/about,,True,https://ojs.utlib.ee/index.php/juridica/about,Anonymous peer review,https://ojs.utlib.ee/index.php/juridica/about,False,https://ojs.utlib.ee/index.php/juridica/about,https://ojs.utlib.ee/index.php/juridica/about/editorialTeam,https://ojs.utlib.ee/index.php/juridica/about/submissions,20,False,https://ojs.utlib.ee/index.php/juridica/about,,False,,False,,,,,,,DOI,True,,,KJ-KKZ,False,No,No,Law: Law of Europe,2017-08-14T17:44:36Z,2025-03-31T08:15:18Z,2025-03-31,0,,,,,851.29,,sin_monto,2240.24,,,imputado,,,,"['doaj', 'publindex', 'scimago']",0.0033112582781456954,False,True,regresion_condicional,True,False,True,True,-1,0.6666666666666666,20,False,0.8059701492537313,0.3745,-0.605,1.0186,-0.023,0.0613,0.1498,0.1732,0.15,0.186
0124-5996,,2346-2450,Revista De Economía Institucional,2022,B,Colombia,Distrito Capital,"Bogotá, D. C.","Bogotá, D.C.",11001,No registra,Economía y Negocios,Ciencias Sociales,UNIVERSIDAD EXTERNADO DE COLOMBIA,IES,,,1,2346-2450,economia institucional,CO,2,2026-09-13,1.0.0,consolidado,71847a81fcdb4d9c,,,,,Emerald Publishing,,False,,,0,,,,,,,,,,,,,,https://www.emeraldgrouppublishing.com/journal/econ,https://doaj.org/toc/c1df81e7c86948d3aecd846a81ce55a5,2013,,1517-7580,2358-2820,"real estate, finance, markets",English,United Kingdom,"National Association of Postgraduate Centers in Economics, ANPEC",Brazil,CC BY,,https://www.emeraldgrouppublishing.com/journal/econ#transparency-statement,True,True,https://www.emeraldgrouppublishing.com/journal/econ#transparency-statement,Double anonymous peer review,https://www.emeraldgrouppublishing.com/journal/econ#author-guidelines,True,https://www.emeraldgrouppublishing.com/journal/econ#aims-and-scope,https://www.emeraldgrouppublishing.com/journal/econ#editorial-team,https://www.emeraldgrouppublishing.com/journal/econ#author-guidelines,25,False,https://www.emeraldgrouppublishing.com/journal/econ#author-guidelines,,False,,False,,"CLOCKSS, Portico",,http://www.elsevier.com/about/company-information/policies/digital-archive,,,DOI,True,,,HB71-74,False,No,No,Social Sciences: Economic theory. Demography: Economics as a science,2015-11-17T19:51:04Z,2022-12-29T12:53:56Z,2022-12-29,216,2026-06-05T14:26:41Z,,,,870.76,,sin_monto,2291.47,,,imputado,,,,"['doaj', 'publindex']",0.0033112582781456954,False,True,regresion_condicional,True,False,True,True,2,,25,False,,0.1533,-0.5815,,,0.4853,0.1533,,,0.2442
